flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
2,6,42507,15508,0,0,1
2,6,15541,28990,0,0,1
2,6,15541,28990,0,0,1
2,6,15541,28990,0,0,1
2,6,24095,45807,0,0,1
2,6,24095,45807,0,0,1
2,6,24095,45807,0,0,1
2,6,26229,44681,0,0,1
2,6,26229,44681,0,0,1
2,6,26229,44681,0,0,1
1,6,45071,28370,0,0,1
1,6,45071,28370,0,0,1
1,6,45071,28370,0,0,1
1,6,63338,41308,0,0,1
1,6,63338,41308,0,0,1
1,6,63338,41308,0,0,1
1,6,54812,26154,0,0,1
1,6,54812,26154,0,0,1
1,6,54812,26154,0,0,1
1,6,43085,45561,0,0,1
1,6,43085,45561,0,0,1
1,6,43085,45561,0,0,1
1,6,5887,5907,0,0,1
0,6,5887,5907,0,0,1
0,6,5887,5907,0,0,1
0,6,12141,52990,0,0,1
0,6,12141,52990,0,0,1
0,6,12141,52990,0,0,1
0,6,10060,9482,0,0,1
0,6,10060,9482,0,0,1
0,6,10060,9482,0,0,1
0,6,35281,45344,0,0,1
0,6,35281,45344,0,0,1
0,6,35281,45344,0,0,1
0,6,52726,40614,0,0,1
0,6,52726,40614,0,0,1
0,6,52726,40614,0,0,1
10,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,26404,2013,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,49419,47204,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,48553,63052,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,50798,10827,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
9,6,53222,15912,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,16408,29848,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,40626,45164,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,4475,44625,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,25416,41568,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
8,6,7252,55407,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,38630,6619,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,44173,21165,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,2880,39583,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,20781,31490,0,0,1
7,6,33495,475,0,0,1
7,6,33495,475,0,0,1
6,6,33495,475,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,24278,37709,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,43668,1330,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,48407,25039,0,0,1
6,6,51846,37371,0,0,1
